mesh_descriptor_uid,name,annotation,deleted
D000001,Calcimycin,,0
D000002,Temefos,"for use to kill or control insects, use no qualifiers on the insecticide or the insect; appropriate qualifiers may be used when other aspects of the insecticide are discussed such as the effect on a physiologic process or behavioral aspect of the insect; for poisoning, coordinate with ORGANOPHOSPHATE POISONING",0
D000003,Abattoirs,,0
D000004,"Abbreviations as Topic","includes acronyms; do not confuse with Publication Type ABBREVIATIONS",0
D000005,Abdomen,"GEN: prefer specifics; abdom muscles = ABDOMINAL MUSCLES but RECTUS ABDOMINIS is available; abdominal pain = ABDOMINAL PAIN; abrupt dis requiring emerg surg = ABDOMEN, ACUTE",0
D000006,"Abdomen, Acute",,0
D000007,"Abdominal Injuries","general term for inj of organs in the abdom cavity; prefer specific organs /inj",0
D000008,"Abdominal Neoplasms","general term for neoplasms of organs in the abdominal cavity; prefer specific organ/neoplasm terms; coordinate IM with histological type of neoplasm if given (IM)",0
D000009,"Abdominal Muscles","/growth: coordinate with MUSCLE DEVELOPMENT; /embryol: coordinate with MUSCLE DEVELOPMENT if pertinent",0
D000010,"Abducens Nerve","neoplasms = ABDUCENS NERVE DISEASES (IM) + CRANIAL NERVE NEOPLASMS (IM) + histological type of neoplasm (IM)",0
D000011,"Abelson murine leukemia virus","infection: coord IM with RETROVIRIDAE INFECTIONS (IM) + TUMOR VIRUS INFECTIONS (IM) + LEUKEMIA, EXPERIMENTAL (IM)",0
D000012,Abetalipoproteinemia,,0
D000013,"Congenital Abnormalities","general only; prefer specifics or /abnorm with specific anatomical term or specific animal",0
D000014,"Abnormalities, Drug-Induced","IM; do not use /chem ind /compl /congen & do not coord with INFANT, NEWBORN, DISEASES; coord IM with specific chem /adv eff-pois-tox (IM) + specific organ /abnorm or specific abnorm /chem ind (IM); Manual 23.20.3",0
D000015,"Abnormalities, Multiple","coordinate with specific abnormalities",0
D000016,"Abnormalities, Radiation-Induced","coordinate with specific abnormality",0
D000017,"ABO Blood-Group System","IM; coord with disease /blood (IM), not /immunol nor /genet; TN 230",0
D000018,Abomasum,"a ruminant's 4th stomach; dis: coord IM with STOMACH DISEASES /vet (IM); neopl: coord IM with STOMACH NEOPLASMS /vet (IM) + histol type /vet (IM); ulcer: coord IM with STOMACH ULCER /vet (IM)",0
D000019,"Abortifacient Agents","use no qualifiers for abortifacients when used to interrupt pregnancy; note entry term ABORTIFACIENT EFFECT: use only for the abortifacient effect of a chemical substance",0
D000020,"Abortifacient Agents, Nonsteroidal","do not use /ther use for use of the abortifacients as abortifacients",0
D000021,"Abortifacient Agents, Steroidal","do not use /ther use for use of the abortifacients as abortifacients",0
D000022,"Abortion, Spontaneous","/chem ind permitted but do not confuse with ABORTION, INDUCED; check the tags HUMANS & FEMALE & PREGNANCY",0
D000023,"Abortion Applicants","don't forget also check tags HUMANS & FEMALE & PREGNANCY",0
D000024,"Abortion, Criminal","don't forget also check tags HUMANS & FEMALE & PREGNANCY; for abortifacients in crim abort see note on ABORTION, INDUCED",0
D000025,"Abortion, Eugenic","add HUMANS or ANIMALS & FEMALE & PREGNANCY",0
D000026,"Abortion, Habitual",,0
D000027,"Abortion, Incomplete","restrict to spontaneous, not induced abortions; check the tags FEMALE & PREGNANCY",0
D000028,"Abortion, Induced","for use of an abortifacient, coordinate with abortifacient agent with no qualifiers, not  ‌/‌adv ‌eff unless text specifically discusses adverse effects;  check the tags FEMALE & PREGNANCY",0
D000029,"Abortion, Legal","add HUMANS & FEMALE & PREGNANCY",0
D000030,"Abortion, Missed","check the tags FEMALE & PREGNANCY",0
D000031,"Abortion, Septic","/vet permitted only if discussed as ""septic"" abortion: do not use automatically for animal abortion in brucellosis, vibriosis, trichomoniasis, etc; check the tags FEMALE & PREGNANCY",0
D000032,"Abortion, Therapeutic","check the tags FEMALE & PREGNANCY",0
D000033,"Abortion, Threatened","check the tags FEMALE & PREGNANCY",0
D000034,"Abortion, Veterinary","coordinate IM with specific type of abortion /vet (IM); check the tags ANIMALS & FEMALE & PREGNANCY",0
D000035,Abreaction,,0
D000036,Abrin,,0
D000037,"Abruptio Placentae",,0
D000038,Abscess,"coordinate with site (organ/disease term)  + precoordinated organism/infection term; if unspecified bacterial abscess do not coordinate with BACTERIAL INFECTIONS (since most abscesses are bacterial) but coordinate with specific bacterial infection term if given (as ABSCESS + STAPHYLOCOCCAL INFECTIONS)",0
D000039,"Peritonsillar Abscess","coordinate IM with infection term (IM) but not BACTERIAL INFECTIONS (since most abscesses are bacterial)",0
D000040,"Abscisic Acid",,0
D000041,Absenteeism,,0
D000042,Absorption,"beginning in 2015: used for searching; INDEXER: Do not use; CATALOGER: Do not use",0
D000043,"Abstracting and Indexing","medical abstracting & indexing: do not coordinate with MEDICINE; do not confuse with Publication Types ABSTRACTS or MEETING ABSTRACT",0
D000044,"Dental Abutments",,0
D000045,Acacia,"acacia pharmaceut agents are probably GUM ARABIC",0
D000046,"Academic Medical Centers","specify geog",0
D000047,"Academies and Institutes","not for educ acad & institutes ( = SCHOOLS or its indentions); Acad of Med: do not index also under MEDICINE; NY Acad of Med: when geog coord needed use NEW YORK CITY; DF: ACADEMIES",0
D000048,Acanthamoeba,"infection: coordinate with AMEBIASIS; for encephalitis caused by this organism, coordinate also with CENTRAL NERVOUS SYSTEM PROTOZOAL INFECTIONS + INFECTIOUS ENCEPHALITIS; coordinate with specific protozoan terms (ANTIGENS, PROTOZOAN, etc.) if pertinent",0
D000049,Acanthocephala,"infection: coord IM with HELMINTHIASIS (IM); for antigens, coord with ANTIGENS, HELMINTH, for antibodies, coord with ANTIBODIES, HELMINTH",0
D000050,Acanthocytes,,0
D000051,Acantholysis,"ACANTHOLYSIS BULLOSA see EPIDERMOLYSIS BULLOSA is also available",0
D000052,"Acanthosis Nigricans","a type of melanosis",0
D000053,Acari,,0
D000054,Acceleration,IM,0
D000055,"Accessory Nerve","neoplasm = ACCESSORY NERVE DISEASES (IM) + CRANIAL NERVE NEOPLASMS (IM) + histological type of neoplasm (IM)",0
D000056,"Accident Prevention",,0
D000057,"Accident Proneness",,0
D000058,"Accidental Falls",,0
D000059,Accidents,"general or unspecified; prefer specifics",0
D000060,"Accidents, Aviation",,0
D000061,"Accidents, Home",,0
D000062,"Accidents, Occupational","coordinate IM with specific occupation (IM)",0
D000063,"Accidents, Traffic","implies automobile accidents so do not coordinate with AUTOMOBILES unless the auto is especially discussed; coordinate with BICYCLING or MOTORCYCLES if pertinent; not for railroad accidents ( = RAILROADS + ACCIDENTS) or all-terrain vehicles, motorbikes or snowmobiles ( = OFF-ROAD MOTOR VEHICLES + ACCIDENTS)",0
D000064,Acclimatization,"includes to climate, altitude, weather but not to gravity ( = ADAPTATION, PHYSIOLOGICAL)",0
D000065,"Accommodation, Ocular","do not confuse with ADAPTATION, OCULAR, adjustment of eye to light",0
D000066,Accounting,"IM; coord with SPEC (IM) or specific financial endeavor (IM)",0
D000066388,"Oil and Gas Industry",,0
D000066428,"Coal Industry",,0
D000066448,"Driving Under the Influence",,0
D000066449,"Human Embryonic Stem Cells",,0
D000066450,"Mouse Embryonic Stem Cells",,0
D000066473,"Embryonic Germ Cells",,0
D000066477,"Work Performance",,0
D000066479,"Criminal Behavior",,0
D000066491,"Clinical Decision-Making","use DECISION MAKING for decision making by the patient",0
D000066492,"Cognitive Aging",,0
D000066494,"Cognitive Neuroscience","use for the discipline only (education, history, etc)",0
D000066498,"Emotional Adjustment",,0
D000066499,"Facial Recognition",,0
D000066502,Grandparents,,0
D000066505,"Help-Seeking Behavior",,0
D000066506,Heuristics,,0
D000066511,"Intimate Partner Violence",,0
D000066530,"Neurological Rehabilitation",,0
D000066550,"Physical Abuse",,0
D000066553,"Problem Behavior",,0
D000066608,"Underage Drinking",,0
D000066630,"Ectopic Gene Expression",,0
D000066670,"Cell Plasticity",,0
D000066673,"Cell Self Renewal",,0
D000066768,"Rehabilitation Research",,0
D000066792,Orthodontists,,0
D000066794,"Oral and Maxillofacial Surgeons",,0
D000066829,Neuroprotection,,0
D000066888,"Diet, Food, and Nutrition","used for searching; INDEXER: Do not use; CATALOGER: Do not use",0
D000066889,Triticale,,0
D000066891,"Critical Care Outcomes",,0
D000066908,"Simulation Training",,0
D000066928,Millets,"general or unspecified; note several specific millet terms are available",0
D000066949,"Biobehavioral Sciences",,0
D000066970,"Protein Corona",,0
D000066988,Vegetarians,,0
D000066989,Vegans,,0
D000067,"Accounts Payable and Receivable",,0
D000067009,"Youth Sports",,0
D000067010,Literacy,,0
D000067011,"Severe Acute Malnutrition",,0
D000067012,"Banking, Personal",,0
D000067013,"Evidence-Based Facility Design",,0
D000067029,"Physical Appearance, Body",,0
