`pcrs_id`,`description`
aamc-pcrs-comp-c0101,"Perform all medical, diagnostic, and surgical procedures considered essential for the area of practice"
aamc-pcrs-comp-c0102,"Gather essential and accurate information about patients and their conditions through history-taking, physical examination, and the use of laboratory data, imaging, and other tests"
aamc-pcrs-comp-c0103,"Organize and prioritize responsibilities to provide care that is safe, effective, and efficient"
aamc-pcrs-comp-c0104,"Interpret laboratory data, imaging studies, and other tests required for the area of practice"
aamc-pcrs-comp-c0105,"Make informed decisions about diagnostic and therapeutic interventions based on patient information and preferences, up-to-date scientific evidence, and clinical judgment"
aamc-pcrs-comp-c0106,Develop and carry out patient management plans
aamc-pcrs-comp-c0107,Counsel and educate patients and their families to empower them to participate in their care and enable shared decision making
aamc-pcrs-comp-c0108,"Provide appropriate referral of patients including ensuring continuity of care throughout transitions between providers or settings, and following up on patient progress and outcomes"
aamc-pcrs-comp-c0109,"Provide health care services to patients, families, and communities aimed at preventing health problems or maintaining health"
aamc-pcrs-comp-c0110,Provide appropriate role modeling
aamc-pcrs-comp-c0111,"Perform supervisory responsibilities commensurate with one's roles, abilities, and qualifications"
aamc-pcrs-comp-c0199,Other patient care
aamc-pcrs-comp-c0201,Demonstrate an investigatory and analytic approach to clinical situations
aamc-pcrs-comp-c0202,Apply established and emerging bio-physical scientific principles fundamental to health care for patients and populations
aamc-pcrs-comp-c0203,"Apply established and emerging principles of clinical sciences to diagnostic and therapeutic decision-making, clinical problem-solving, and other aspects of evidence-based health care"
aamc-pcrs-comp-c0204,"Apply principles of epidemiological sciences to the identification of health problems, risk factors, treatment strategies, resources, and disease prevention/health promotion efforts for patients and populations"
aamc-pcrs-comp-c0205,"Apply principles of social-behavioral sciences to provision of patient care, including assessment of the impact of psychosocial and cultural influences on health, disease, care-seeking, care compliance, and barriers to and attitudes toward care"
aamc-pcrs-comp-c0206,"Contribute to the creation, dissemination, application, and translation of new health care knowledge and practices"
aamc-pcrs-comp-c0299,Other knowledge for practice
aamc-pcrs-comp-c0301,"Identify strengths, deficiencies, and limits in one's knowledge and expertise"
aamc-pcrs-comp-c0302,Set learning and improvement goals
