`competency_id`,`pcrs_id`
7,aamc-pcrs-comp-c0101
8,aamc-pcrs-comp-c0102
9,aamc-pcrs-comp-c0106
10,aamc-pcrs-comp-c0405
11,aamc-pcrs-comp-c0101
12,aamc-pcrs-comp-c0103
12,aamc-pcrs-comp-c0108
12,aamc-pcrs-comp-c0109
13,aamc-pcrs-comp-c0203
14,aamc-pcrs-comp-c0201
14,aamc-pcrs-comp-c0310
15,aamc-pcrs-comp-c0305
15,aamc-pcrs-comp-c0309
16,aamc-pcrs-comp-c0202
16,aamc-pcrs-comp-c0204
16,aamc-pcrs-comp-c0306
17,aamc-pcrs-comp-c0301
17,aamc-pcrs-comp-c0307
18,aamc-pcrs-comp-c0107
19,aamc-pcrs-comp-c0107
19,aamc-pcrs-comp-c0401
19,aamc-pcrs-comp-c0406
20,aamc-pcrs-comp-c0402
20,aamc-pcrs-comp-c0405
21,aamc-pcrs-comp-c0501
21,aamc-pcrs-comp-c0505
22,aamc-pcrs-comp-c0502
23,aamc-pcrs-comp-c0504
24,aamc-pcrs-comp-c0506
25,aamc-pcrs-comp-c0506
26,aamc-pcrs-comp-c0403
26,aamc-pcrs-comp-c0603
50,aamc-pcrs-comp-c0605
51,aamc-pcrs-comp-c0203
52,aamc-pcrs-comp-c0206
