`department_id`,`title`,`school_id`
1,Anatomy,1
2,Anesthesia and Perioperative Care,1
3,"Anthropology, History and Social Medicine",1
4,Biochemistry and Biophysics,1
5,Bioengineering and Therapeutic Sciences,1
6,Cellular and Molecular Pharmacology,1
7,Dermatology,1
8,Emergency Medicine,1
9,Epidemiology and Biostatistics,1
10,Family and Community Medicine,1
11,Laboratory Medicine,1
12,Medicine,1
13,Microbiology and Immunology,1
14,Neurological Surgery,1
15,Neurology,1
16,"Obstetrics, Gynecology and Reproductive Sciences",1
17,Ophthalmology,1
18,Orthopaedic Surgery,1
19,Otolaryngology,1
20,Pathology,1
21,Pediatrics,1
22,Physical Therapy and Rehabilitation Science,1
23,Physiology,1
24,Psychiatry,1
25,Radiation Oncology,1
26,Radiology and Biomedical Imaging,1
27,Surgery,1
28,Urology,1
29,AIDS Research Institute,1
30,Center for Health and Community,1
31,Clinical and Translational Science Institute/CTSI,1
32,Eli and Edythe Broad Center for Regeneration Medicine and Stem Cell Research,1
33,Osher Center for Integrative Medicine,1
34,Strategic Asthma Basic Research Center,1
35,Wheeler Center for the Neurobiology of Addiction,1
36,Cardiovascular Research Institute,1
37,Center for Reproductive Sciences,1
38,Diabetes Center,1
39,George Williams Hooper Foundation,1
40,Helen Diller Family Comprehensive Cancer Center,1
41,Institute for Human Genetics,1
42,Institute for Neurodegenerative Diseases ,1
43,Phillip R. Lee Institute for Health Policy Studies,1
44,Prevention and Public Health Group,1
45,Department Of Cell And Tissue Biology,2
46,Department Of Oral And Maxillofacial Surgery,2
47,Department Of Orofacial Sciences,2
48,Department Of Preventive And Restorative Dental Sciences,2
49,Department of Pharmaceutical Chemistry,3
50,Department of Bioengineering and Therapeutic Sciences,3
51,Department of Clinical Pharmacy,3
52,Family Health Care Nursing (FHCN),4
53,Community Health Systems (CHS),4
54,Physiological Nursing (PN),4
55,Social and Behavioral Sciences (SBS),4
56,Institute for Health & Aging,4
