`mesh_concept_uid`,`mesh_semantic_type_uid`
M0000001,T109
M0000001,T195
M0000002,T115
M0000002,T131
M0000003,T073
M0000004,T170
M0000005,T029
M0000006,T184
M0000007,T037
M0000008,T191
M0000009,T024
M0000010,T023
M0000011,T005
M0000012,T047
M0000013,T019
M0000014,T019
M0000015,T019
M0000016,T019
M0000017,T022
M0000018,T129
M0000019,T129
M0000020,T023
M0000021,T121
M0000022,T121
M0000023,T110
M0000023,T121
M0000024,T047
M0000025,T047
M0000026,T101
M0000027,T101
M0000028,T101
M0000029,T033
M0000030,T061
M0000031,T061
M0000032,T047
M0000033,T047
M0000034,T184
M0000035,T081
M0000036,T061
M0000037,T061
M0000038,T061
M0000039,T061
M0000040,T093
M0000041,T061
M0000042,T061
M0000043,T061
M0000044,T061
M0000045,T046
M0000045,T068
M0000046,T061
M0000047,T061
M0000048,T047
M0000050,T047
M0000051,T061
M0000052,T047
M0000053,T047
M0000054,T041
M0000055,T116
M0000055,T123
M0000056,T116
M0000056,T123
M0000057,T116
M0000057,T123
M0000058,T047
M0000059,T046
M0000060,T047
M0000061,T109
M0000061,T123
M0000062,T055
M0000063,T070
M0000064,T057
M0000065,T057
M0000066,T170
M0000067,T023
M0000067,T074
M0000068,T002
M0000069,T073
M0000069,T093
M0000070,T092
M0000071,T092
M0000072,T092
M0000073,T092
M0000074,T009
M0000074,T204
M0000075,T009
M0000075,T204
M0000076,T025
M0000077,T046
M0000078,T047
M0000079,T009
M0000079,T204
M0000080,T067
M0000081,T023
M0000083,T061
M0000083,T078
M0000084,T055
M0000085,T037
M0000086,T037
M0000087,T037
M0000087,T068
M0000088,T067
M0000089,T067
M0000090,T067
M0000091,T067
M0000092,T040
M0000093,T042
M0000094,T057
M0000094,T090
M0000095,T081
M0000096,T081
M0000097,T064
M0000098,T054
M0000099,T054
M0000100,T109
M0000100,T121
M0000101,T109
M0000101,T121
M0000102,T109
M0000102,T121
M0000103,T109
M0000103,T121
M0000104,T109
M0000104,T130
M0000105,T109
M0000105,T121
M0000106,T109
M0000106,T121
M0000107,T109
M0000107,T121
M0000109,T002
M0000109,T003
M0000110,T023
M0000111,T109
M0000112,T109
M0000113,T109
M0000114,T109
M0000114,T121
M0000115,T109
M0000115,T121
M0000116,T109
M0000116,T121
M0000117,T109
M0000117,T121
M0000118,T109
M0000118,T121
M0000119,T109
M0000119,T121
M0000120,T109
M0000120,T121
M0000121,T109
M0000121,T121
M0000123,T109
M0000124,T116
M0000124,T126
M0000125,T109
M0000126,T109
M0000127,T109
M0000127,T121
M0000128,T109
M0000128,T121
M0000129,T109
M0000129,T121
M0000130,T109
M0000130,T121
M0000131,T109
M0000131,T121
M0000132,T109
M0000133,T109
