`mesh_descriptor_uid`,`name`,`annotation`,`created_at`,`updated_at`,`deleted`
D000001,Calcimycin,,2010-01-01 00:00:00,2014-08-18 20:07:23,0
D000002,Temefos,TN 111 for eff on insects,2010-01-01 00:00:00,2014-08-18 20:07:26,0
D000003,Abattoirs,,2010-01-01 00:00:00,2014-08-18 20:07:29,0
D000004,Abbreviations as Topic,includes acronyms; do not confuse with Publication Type ABBREVIATIONS,2010-01-01 00:00:00,2014-08-18 20:07:30,0
D000005,Abdomen,"GEN: prefer specifics; abdom muscles = ABDOMINAL MUSCLES but RECTUS ABDOMINIS is available; abdominal pain = ABDOMINAL PAIN; abrupt dis requiring emerg surg = ABDOMEN, ACUTE",2010-01-01 00:00:00,2014-08-18 20:07:31,0
D000006,"Abdomen, Acute",,2010-01-01 00:00:00,2014-08-18 20:07:32,0
D000007,Abdominal Injuries,general term for inj of organs in the abdom cavity; prefer specific organs /inj,2010-01-01 00:00:00,2014-08-18 20:07:35,0
D000008,Abdominal Neoplasms,general term for neopl of organs in the abdom cavity; prefer specific organ/neopl terms; /blood supply /chem /second /secret /ultrastruct permitted; coord IM with histol type of neopl if given (IM),2010-01-01 00:00:00,2014-08-18 20:07:38,0
D000009,Abdominal Muscles,"RECTUS ABDOMINIS is available; hernia = HERNIA, VENTRAL; /growth: coord with MUSCLE DEVELOPMENT; /embryol: coord with MUSCLE DEVELOPMENT if pertinent",2010-01-01 00:00:00,2014-08-18 20:07:42,0
D000010,Abducens Nerve,neopl = ABDUCENS NERVE DISEASES (IM) + CRANIAL NERVE NEOPLASMS (IM) + histol type of neopl (IM),2010-01-01 00:00:00,2014-08-18 20:07:45,0
D000011,Abelson murine leukemia virus,"infection: coord IM with RETROVIRIDAE INFECTIONS (IM) + TUMOR VIRUS INFECTIONS (IM) + LEUKEMIA, EXPERIMENTAL (IM)",2010-01-01 00:00:00,2014-08-18 20:07:49,0
D000012,Abetalipoproteinemia,,2010-01-01 00:00:00,2014-08-18 20:07:51,0
D000013,Congenital Abnormalities,"general only: prefer /abnorm with specific anatomical term or specific animal: Manual 19.7+, 19.8.1; policy: Manual 23.20+",2010-01-01 00:00:00,2014-08-18 20:07:56,0
D000014,"Abnormalities, Drug-Induced","IM; do not use /chem ind /compl /congen & do not coord with INFANT, NEWBORN, DISEASES; coord IM with specific chem /adv eff-pois-tox (IM) + specific organ /abnorm or specific abnorm /chem ind (IM); Manual 23.20.3",2010-01-01 00:00:00,2014-08-18 20:08:01,0
D000015,"Abnormalities, Multiple","IM; do not use /compl /congen & do not coord with INFANT, NEWBORN, DISEASES; coord IM with specific abnorm (IM); Manual 23.20.2",2010-01-01 00:00:00,2014-08-18 20:08:04,0
D000016,"Abnormalities, Radiation-Induced","IM; do not use /compl /congen & do not coord with INFANT, NEWBORN, DISEASES; coord IM with specific abnorm (IM)",2010-01-01 00:00:00,2014-08-18 20:08:07,0
D000017,ABO Blood-Group System,"IM; coord with disease /blood (IM), not /immunol nor /genet; TN 230",2010-01-01 00:00:00,2014-08-18 20:08:10,0
D000018,Abomasum,a ruminant's 4th stomach; dis: coord IM with STOMACH DISEASES /vet (IM); neopl: coord IM with STOMACH NEOPLASMS /vet (IM) + histol type /vet (IM); ulcer: coord IM with STOMACH ULCER /vet (IM),2010-01-01 00:00:00,2014-08-18 20:08:14,0
D000019,Abortifacient Agents,do not use /ther use for use of abortifacients as abortifacients,2010-01-01 00:00:00,2014-08-18 20:08:16,0
D000020,"Abortifacient Agents, Nonsteroidal",do not use /ther use for use of the abortifacients as abortifacients,2010-01-01 00:00:00,2014-08-18 20:08:19,0
D000021,"Abortifacient Agents, Steroidal",do not use /ther use for use of the abortifacients as abortifacients,2010-01-01 00:00:00,2014-08-18 20:08:21,0
D000022,"Abortion, Spontaneous","/chem ind permitted but do not confuse with ABORTION, INDUCED; check the tags HUMANS & FEMALE & PREGNANCY",2010-01-01 00:00:00,2014-08-18 20:08:24,0
D000023,Abortion Applicants,don't forget also check tags  HUMANS & FEMALE & PREGNANCY,2010-01-01 00:00:00,2014-08-18 20:08:27,0
D000024,"Abortion, Criminal","don't forget also check tags  HUMANS & FEMALE & PREGNANCY; for abortifacients in crim abort see note on ABORTION, INDUCED",2010-01-01 00:00:00,2014-08-18 20:08:29,0
D000025,"Abortion, Eugenic",do not use /util except by MeSH definition; don't forget also check tags  HUMANS or ANIMALS & FEMALE & PREGNANCY,2010-01-01 00:00:00,2014-08-18 20:08:31,0
D000026,"Abortion, Habitual",,2010-01-01 00:00:00,2014-08-18 20:08:33,0
D000027,"Abortion, Incomplete","restrict to spontaneous, not induced abortions; check the tags FEMALE & PREGNANCY",2010-01-01 00:00:00,2014-08-18 20:08:38,0
D000028,"Abortion, Induced","do not use /util except by MeSH definition; for use of an abortifacient here or in ABORTION, CRIMINAL, coord IM with abortifacient agent (IM with no qualif, not /adv eff unless text specifically discusses adverse eff); don't forget also check tags FEMALE & PREGNANCY",2010-01-01 00:00:00,2014-08-18 20:08:41,0
D000029,"Abortion, Legal",/adv eff permitted; do not use /util (except by MeSH definition) /vet; don't forget also  HUMANS & FEMALE & PREGNANCY,2010-01-01 00:00:00,2014-08-18 20:08:49,0
