`mesh_concept_uid`,`mesh_descriptor_uid`
M0000001,D000001
M0000002,D000002
M0000003,D000003
M0000004,D000004
M0000005,D000005
M0000006,D000006
M0000007,D000007
M0000008,D000008
M0000009,D000009
M0000010,D000010
M0000011,D000011
M0000012,D000012
M0000013,D000013
M0000014,D000014
M0000015,D000015
M0000016,D000016
M0000017,D000017
M0000018,D000017
M0000019,D000017
M0000020,D000018
M0000021,D000019
M0000022,D000020
M0000023,D000021
M0000024,D000022
M0000025,D000022
M0000026,D000023
M0000027,D000023
M0000028,D000023
M0000029,D000024
M0000030,D000025
M0000031,D000025
M0000032,D000026
M0000033,D000027
M0000034,D000028
M0000035,D000028
M0000036,D000028
M0000037,D000028
M0000038,D000028
M0000039,D000028
M0000040,D000028
M0000041,D000028
M0000042,D000028
M0000043,D000028
M0000044,D000028
M0000045,D000028
M0000046,D000029
M0000047,D000029
M0000048,D000030
M0000050,D000031
M0000051,D000032
M0000052,D000033
M0000053,D000034
M0000054,D000035
M0000055,D000036
M0000056,D000036
M0000057,D000036
M0000058,D000037
M0000059,D000038
M0000060,D000039
M0000061,D000040
M0000062,D000041
M0000063,D000042
M0000064,D000043
M0000065,D000043
M0000066,D000043
M0000067,D000044
M0000068,D000045
M0000069,D000046
M0000070,D000047
M0000071,D000047
M0000072,D000047
M0000073,D000047
M0000074,D000048
M0000075,D000049
M0000076,D000050
M0000077,D000051
M0000078,D000052
M0000079,D000053
M0000080,D000054
M0000081,D000055
M0000083,D000056
M0000084,D000057
M0000085,D000058
M0000086,D000059
M0000087,D000060
M0000088,D000061
M0000089,D000062
M0000090,D000062
M0000091,D000063
M0000092,D000064
M0000093,D000065
M0000094,D000066
M0000095,D000067
M0000096,D000067
M0000097,D000068
M0000098,D000069
M0000099,D000069
M0000100,D000070
M0000101,D000070
M0000102,D000070
M0000103,D000072
M0000104,D000073
M0000105,D000074
M0000106,D000074
M0000107,D000075
M0000109,D000076
M0000110,D000077
M0000111,D000079
M0000112,D000080
M0000113,D000081
M0000114,D000082
M0000115,D000082
M0000116,D000082
M0000117,D000082
M0000118,D000082
M0000119,D000082
M0000120,D000082
M0000121,D000082
M0000123,D000083
M0000124,D000084
M0000125,D000085
M0000126,D000085
M0000127,D000086
M0000128,D000086
M0000129,D000086
M0000130,D000086
M0000131,D000086
M0000132,D000085
M0000133,D000089
M0000134,D000090
M0000135,D000091
M0000136,D000092
M0000137,D000093
M0000138,D000094
M0000139,D000095
M0000140,D000095
M0000141,D000095
M0000142,D000096
M0000143,D000097
M0000144,D000098
M0000145,D000099
M0000146,D000100
M0000147,D000100
M0000148,D000100
M0000149,D000100
M0000150,D000100
M0000151,D000100
M0000152,D000100
M0000153,D000101
M0000155,D000102
M0000156,D000103
M0000157,D000104
M0000158,D000105
M0000159,D000106
M0000160,D000107
M0000161,D000108
M0000164,D000108
M0000165,D000109
M0000167,D000109
M0000169,D000110
M0000170,D000110
M0000171,D000111
M0000172,D000111
M0000173,D000111
M0000174,D000111
M0000175,D000111
M0000176,D000112
M0000177,D000112
M0000178,D000112
M0000179,D000112
M0000180,D000112
M0000181,D000112
M0000182,D000113
M0000183,D000113
M0000184,D000113
M0000185,D000113
M0000186,D000114
M0000187,D000115
M0000188,D000116
M0000189,D000117
M0000190,D000118
M0000191,D000119
M0000192,D000119
M0000193,D000120
M0000194,D000120
M0000195,D000121
M0000196,D000122
M0000197,D000123
M0000198,D000124
M0000199,D000125
M0000200,D000126
M0000201,D000126
M0000202,D000127
M0000203,D000128
M0000204,D000129
M0000205,D000130
M0000206,D000134
M0000207,D045662
M0000208,D000135
M0000209,D000135
M0000210,D000136
M0000211,D000136
M0000212,D000137
M0000213,D000138
M0000214,D000140
M0000215,D000141
M0000216,D000141
M0000217,D000141
M0000219,D000142
M0000220,D000143
M0000221,D000144
M0000222,D000145
M0000223,D000146
M0000224,D000147
M0000225,D000148
M0000226,D000149
M0000227,D000150
M0000228,D000150
M0000229,D000150
M0000230,D000151
M0000231,D000152
M0000232,D000153
M0000233,D000154
M0000234,D031841
M0000235,D000156
M0000236,D000157
M0000237,D000158
M0000238,D000158
M0000239,D000158
M0000240,D000158
M0000241,D000159
M0000242,D000160
M0000243,D000161
M0000244,D000162
M0000245,D000163
M0000246,D000164
M0000247,D000165
M0000249,D000166
M0000250,D000167
M0000253,D000168
M0000254,D000168
M0000255,D000168
M0000256,D000168
M0000257,D000169
M0000258,D000169
M0000259,D000170
M0000260,D000171
M0000261,D000172
M0000262,D000173
M0000263,D000174
M0000264,D000175
M0000265,D000176
M0000266,D000176
M0000267,D000177
M0000268,D000178
M0000269,D000179
M0000270,D000180
M0000271,D000181
M0000272,D000182
M0000273,D000183
M0000274,D000184
M0000275,D000185
M0000276,D000185
M0000277,D000185
M0000278,D000185
M0000279,D000186
M0000280,D000187
M0000281,D000188
M0000282,D000189
M0000283,D000190
M0000284,D000191
M0000285,D000192
M0000286,D000192
M0000287,D000192
M0000289,D000193
M0000290,D000196
M0000291,D000197
M0000292,D000198
M0000293,D000198
M0000294,D000198
M0000296,D000199
M0000297,D000199
M0000298,D000199
M0000299,D000199
M0000300,D000199
M0000301,D000199
M0000302,D000199
