`mesh_descriptor_uid`,`previous_indexing`,`mesh_previous_indexing_id`
D000001,Antibiotics (1973-1974),1
D000002,Insecticides (1966-1971),2
D000011,Mouse Leukemia Viruses (1966-1979),3
D000015,Abnormalities (1966-1967),4
D000016,Abnormalities (1966-1978),5
D000018,Stomach (1966-1967),6
D000019,"Abortion, Induced (1970-1974)",7
D000020,"Abortion, Induced (1970-1974)",8
D000021,"Abortion, Induced (1970-1974)",9
D000023,"Abortion, Induced (1970-1974)",10
D000027,"Abortion, Spontaneous (1966-1974)",11
D000028,"Abortion, Criminal (1966-1970)",12
D000036,Disulfides (1973-1974),13
D000040,Cyclohexanecarboxylic Acids (1974),14
D000044,Dental Cavity Preparation (1966-1969),15
D000046,"Hospitals, Teaching (1968-1974)",16
D000048,Amoeba (1966-1987),17
D000051,Skin/pathology (1966-1968),18
D000053,Arachnida (1966-1974),19
D000057,Accidents (1966-1974),20
D000058,Accidents (1966-1986),21
D000061,Accidents (1966-1968),22
D000067,Accounting (1966-1977),23
D000070,Anilides (1974),24
D000072,Acetamides (1975),25
D000073,Naphthalenes (1966-1971),26
D000076,"Algae, Green (1970-1971)",27
D000080,Ethers (1966-1971),28
D000081,Acetic Acids (1966-1970),29
D000084,Acetates (1966-1978),30
D000088,Acetates (1966-1967),31
D000089,Acetates (1966-1967),32
D000093,"Alcohols, Butyl (1972-1974)",33
D000094,Alcohol Oxidoreductases (1972-1974),34
D000095,Ketoacid-Lyases (1972-1974),35
D000097,Nitriles (1969-1974),36
D000099,Acetamides (1973-1974),37
D000101,Acetoacetates (1974),38
D000102,Acetyl Coenzyme A (1973-1974),39
D000104,Thiolester Hydrolases (1973-1977),40
D000105,Coenzyme A (1966-1972),41
D000106,Acetyl Coenzyme A (1974-1975),42
D000107,"Chemistry, Organic (1966-1972)",43
D000108,Carnitine (1966-1977),44
D000113,Digoxin (1966-1978),45
D000116,Galactosamine (1973-1974),46
D000117,Glucosamine (1973-1974),47
D000118,Acetamides (1973-1974),48
D000119,Glycopeptides (1971-1978),49
D000120,Procainamide (1966-1974) /analogs & derivatives (1975-1979),50
D000121,Methyltransferases (1974),51
D000122,Acetylcholine (1972-1974),52
D000123,Acyltransferases (1966-1972),53
D000127,Mycoplasma (1966-1975),54
D000128,Mycoplasma (1966-1971),55
D000129,Bacteria (1966-1974),56
D000134,"Bonding, Dental (1971-1976)",57
D000137,Acid-Base Equilibrium (1966-1975),58
D000140,Acidosis (1966-1986),59
D000142,Acidosis (1966),60
D000149,Fluorides (1966-1976),61
D000150,Alcaligenes (1974),62
D000151,Acinetobacter (1966-1967),63
D000154,Hydro-Lyases (1966-1972),64
D000157,Aconite (1972-1974),65
D000158,Audiometry (1966-1977),66
D000160,Acoustic Nerve (1966-1978),67
D000161,Sound (1966-1971),68
D000163,Immunologic Deficiency Syndromes (1979-1982),69
D000165,Acridines (1966-1978),70
D000173,Shoulder Joint (1966-1974),71
D000175,Acridines (1971-1974),72
D000176,Peptide Peptidohydrolases (1973-1974),73
D000178,Acrylates (1966-1970),74
D000181,Acrylates (1968-1976),75
D000182,Adrenocorticotropic Hormone (1966-1979),76
D000183,Blood (1973-1974),77
D000184,Psychoanalytic Therapy (1966-1967),78
D000185,Muscle Proteins (1970-1975),79
D000187,Cattle Diseases (1966-1967),80
D000189,Actinobacillosis (1968-1971),81
D000191,Actinomycetales (1966-1974),82
D000193,Actinomyces (1966-1971),83
D000199,Muscle Proteins (1966-1970),84
D000200,Electrophysiology (1966),85
D000203,Rehabilitation (1966-1967),86
D000205,Muscle Proteins (1966-1970),87
D000209,Blood Proteins (1966-1986),88
D000210,Acute Disease (1968-1986),89
D000212,Guanine (1966-1982),90
D000213,Carrier Proteins (1971-1977),91
D000214,Coenzyme A (1966-1977),92
D000215,"Chemistry, Organic (1966-1970)",93
D000216,Cytosine Nucleotides (1973-1974),94
D000218,Bridged Compounds (1966-1974),95
D000226,Adenine Nucleotides (1972-1975),96
D000228,Adenine (1972-1974),97
D000229,Adenoviridae (1966),98
D000241,Nucleosides (1966-1971),99
D000242,Adenine Nucleotides (1966-1968),100
D000243,Adenosine (1972-1974),101
D000244,Adenine Nucleotides (1966-1970),102
D000245,Adenosine (1973-1974),103
D000246,Adenine Nucleotides (1966-1970),104
D000247,Adenosine (1973-1974),105
D000248,Adenosine (1974),106
D000249,Adenine Nucleotides (1966-1970),107
D000250,Adenine Nucleotides (1966-1970),108
D000252,Adenosine Triphosphatase (1966-1978),109
D000254,Adenosine Triphosphatase (1966-1978),110
D000259,Adenoviruses (1966-1974),111
D000260,Adenoviridae (1966-1974),112
D000262,Adenine Nucleotides (1966-1967),113
D000263,Adenosine Monophosphate (1974),114
D000264,Adenosine Monophosphate (1971-1978),115
D000265,Aspartic Acid (1966-1978),116
D000266,Adenosine Diphosphate (1973-1974),117
D000268,Surface Properties (1966-1968),118
D000277,Pharmaceutic Aids (1968-1974),119
D000278,"Administration, Oral (1971-1987)",120
D000279,"Administration, Topical (1966-1986)",121
D000280,Aerosols (1966-1986),122
D000281,specific drug/administration & dosage (1966-1972),123
D000282,"Administration, Topical (1974-1986)",124
D000283,"Administration, Topical (1974-1986)",125
D000284,specific drug/administration & dosage (1966-1969),126
D000285,Intestinal Absorption (1966-1986),127
D000286,"Administration, Oral (1971-1987)",128
D000288,Organization and Administration (1966-1967),129
D000294,Adolescent Psychology (1967-1980),130
D000295,Adolescence (1966-1979),131
