`tree_number`,`mesh_descriptor_uid`,`mesh_tree_id`
D03.633.100.221.173,D000001,167591
D02.705.400.625.800,D000002,167592
D02.705.539.345.800,D000002,167593
D02.886.300.692.800,D000002,167594
J01.576.423.200.700.100,D000003,167595
J03.540.020,D000003,167596
L01.143.506.598.400.556.131,D000004,167597
A01.923.047,D000005,167598
C10.597.617.044.200,D000006,167599
C23.888.592.612.054.200,D000006,167600
C23.888.821.030.249,D000006,167601
C26.017,D000007,167602
C04.588.033,D000008,167603
A02.633.567.050,D000009,167604
A08.800.800.120.030,D000010,167605
B04.613.807.375.525.020,D000011,167606
B04.820.650.375.525.020,D000011,167607
C16.320.565.398.500.440.500,D000012,167608
C18.452.584.500.875.440.500,D000012,167609
C18.452.648.398.500.440.500,D000012,167610
C16.131,D000013,167611
C16.131.042,D000014,167612
C16.131.077,D000015,167613
C16.131.080,D000016,167614
C26.733.031,D000016,167615
G01.750.748.500.031,D000016,167616
N06.850.460.350.850.500.031,D000016,167617
N06.850.810.300.360.031,D000016,167618
D23.050.301.290.031,D000017,167619
D23.050.705.230.031,D000017,167620
A13.869.106,D000018,167621
D27.505.696.875.131,D000019,167622
D27.505.954.705.131,D000019,167623
D27.505.696.875.131.100,D000020,167624
D27.505.954.705.131.100,D000020,167625
D27.505.696.875.131.200,D000021,167626
D27.505.954.705.131.200,D000021,167627
C13.703.039,D000022,167628
M01.050,D000023,167629
I01.198.240.089,D000024,167630
E04.520.050.050,D000025,167631
C13.703.039.089,D000026,167632
C13.703.039.093,D000027,167633
E04.520.050,D000028,167634
E04.520.050.055,D000029,167635
C13.703.039.173,D000030,167636
C01.539.674.173,D000031,167637
C13.703.039.256,D000031,167638
C13.703.700.173,D000031,167639
E04.520.050.060,D000032,167640
C13.703.039.339,D000033,167641
C13.703.039.422,D000034,167642
C22.021,D000034,167643
F04.754.720.107,D000035,167644
D08.811.277.450.430.700.750.111,D000036,167645
D12.776.503.499.249,D000036,167646
D12.776.765.678.906.111,D000036,167647
C13.703.420.078,D000037,167648
C13.703.590.132,D000037,167649
C01.539.830.025,D000038,167650
C23.550.470.756.100,D000038,167651
C01.539.830.025.675,D000039,167652
C07.550.781.750.500,D000039,167653
C08.730.561.750.500,D000039,167654
C09.775.649.750.500,D000039,167655
D02.241.223.268.034,D000040,167656
D02.455.326.271.665.202.061,D000040,167657
D02.455.426.392.368.367.379.249.024,D000040,167658
D02.455.849.131.061,D000040,167659
D02.455.849.765.033,D000040,167660
F02.784.692.107,D000041,167661
G01.015,D000042,167662
G02.010,D000042,167663
G03.015,D000042,167664
G03.787.024,D000042,167665
G07.690.725.015,D000042,167666
L01.453.245.100,D000043,167667
E06.780.346.500,D000044,167668
E07.695.190.175,D000044,167669
B01.650.940.800.575.100.401.025,D000045,167670
N02.278.020,D000046,167671
N03.540.052,D000047,167672
B01.046.500.100.075.080,D000048,167673
B01.050.500.500.132,D000049,167674
A11.118.290.330.100,D000050,167675
A11.443.240.330.100,D000050,167676
A15.145.229.334.330.100,D000050,167677
C17.800.865.070,D000051,167678
C23.550.035,D000051,167679
C17.800.621.430.530.100,D000052,167680
B01.050.500.131.166.132,D000053,167681
G01.482.107,D000054,167682
A08.800.800.120.060,D000055,167683
N06.850.135.060,D000056,167684
F01.145.015,D000057,167685
N06.850.135.122,D000058,167686
N06.850.135,D000059,167687
N06.850.135.185,D000060,167688
N06.850.135.217,D000061,167689
N06.850.135.240,D000062,167690
N06.850.135.392,D000063,167691
G07.025.133,D000064,167692
G16.012.500.133,D000064,167693
G14.010,D000065,167694
N03.219.463.030,D000066,167695
J01.576.655.875.750,D000066388,167696
J01.576.655.875.200,D000066428,167697
F01.145.250.250,D000066448,167698
F01.145.263.500,D000066448,167699
I01.880.735.223.250,D000066448,167700
I03.125.649,D000066448,167701
A11.872.700.250.750,D000066449,167702
A11.872.700.250.875,D000066450,167703
A11.497.124,D000066473,167704
A11.872.700.250.625,D000066473,167705
I03.946.675,D000066477,167706
F01.145.250,D000066479,167707
E01.055,D000066491,167708
G07.345.124.260,D000066492,167709
F04.096.628.255.500,D000066494,167710
H01.158.610.030,D000066494,167711
F01.058.144,D000066498,167712
F01.752.543.500.250,D000066498,167713
F02.463.593.524.500.500,D000066499,167714
F02.463.593.932.622.500,D000066499,167715
F01.829.263.403,D000066502,167716
I01.880.853.150.452,D000066502,167717
M01.264,D000066502,167718
F01.145.813.217,D000066505,167719
F02.463.425.725.500,D000066506,167720
F02.463.785.810.500,D000066506,167721
I01.198.240.856.575,D000066511,167722
I01.880.735.900.688,D000066511,167723
E02.760.169.063.500.477,D000066530,167724
E02.831.477,D000066530,167725
H02.403.680.600.750,D000066530,167726
