`tree_number`,`mesh_descriptor_uid`,`mesh_tree_id`
A01,D001829,1
A01.047,D000005,2
A01.047.025,D034841,3
A01.047.025.600,D010537,4
A01.047.025.600.225,D004312,5
A01.047.025.600.451,D008643,6
A01.047.025.600.451.535,D008646,7
A01.047.025.600.573,D009852,8
A01.047.025.600.678,D010529,9
A01.047.025.600.700,D054048,10
A01.047.025.750,D012187,11
A01.047.050,D034861,12
A01.047.365,D006119,13
A01.047.412,D007264,14
A01.047.849,D014472,15
A01.176,D001415,16
A01.176.519,D008161,17
A01.176.780,D012445,18
A01.236,D001940,19
A01.236.249,D042361,20
A01.236.500,D009558,21
A01.378,D005121,22
A01.378.100,D000672,23
A01.378.610,D035002,24
A01.378.610.100,D002081,25
A01.378.610.250,D005528,26
A01.378.610.250.149,D000842,27
A01.378.610.250.300,D005545,28
A01.378.610.250.300.480,D008684,29
A01.378.610.250.300.792,D014034,30
A01.378.610.250.300.792.380,D006214,31
A01.378.610.250.510,D006365,32
A01.378.610.400,D006615,33
A01.378.610.450,D007717,34
A01.378.610.500,D007866,35
A01.378.610.750,D013848,36
A01.378.800,D034941,37
A01.378.800.075,D001132,38
A01.378.800.090,D001365,39
A01.378.800.420,D004550,40
A01.378.800.585,D005542,41
A01.378.800.667,D006225,42
A01.378.800.667.430,D005385,43
A01.378.800.667.430.705,D013933,44
A01.378.800.667.572,D008663,45
A01.378.800.667.715,D014953,46
A01.378.800.750,D012782,47
A01.456,D006257,48
A01.456.313,D004423,49
A01.456.505,D005145,50
A01.456.505.173,D002610,51
A01.456.505.259,D002680,52
A01.456.505.420,D005123,53
A01.456.505.420.338,D005138,54
A01.456.505.420.504,D005143,55
A01.456.505.420.504.421,D005140,56
A01.456.505.580,D005546,57
A01.456.505.631,D009055,58
A01.456.505.631.515,D008046,59
A01.456.505.733,D009666,60
A01.456.505.750,D035421,61
A01.456.810,D012535,62
A01.456.830,D019291,63
A01.456.830.150,D035262,64
A01.456.830.165,D035301,65
A01.456.830.200,D003388,66
A01.598,D009333,67
A01.673,D010388,68
A01.673.600,D017773,69
A01.719,D010502,70
A01.911,D013909,71
A01.911.800,D035423,72
A01.911.800.500,D008482,73
A01.911.800.650,D035422,74
A01.911.850,D035441,75
A01.923.047,D000005,76
A01.923.047.025.600,D010537,77
A01.923.047.025.600.225,D004312,78
A01.923.047.025.600.451,D008643,79
A01.923.047.025.600.451.535,D008646,80
A01.923.047.025.600.573,D009852,81
A01.923.047.025.600.678,D010529,82
A01.923.047.025.750,D012187,83
A01.923.047.365,D006119,84
A01.923.047.412,D007264,85
A01.923.047.849,D014472,86
A01.923.176,D001415,87
A01.923.176.519,D008161,88
A01.923.176.780,D012445,89
A01.923.600,D010388,90
A01.923.761,D013909,91
A01.923.761.800.500,D008482,92
A01.960,D014781,93
A02,D009141,94
A02.165,D002356,95
A02.165.257,D051472,96
A02.165.257.250,D004425,97
A02.165.257.625,D007817,98
A02.165.257.625.083,D001193,99
A02.165.257.625.211,D003413,100
A02.165.257.625.411,D004825,101
A02.165.257.625.870,D013957,102
A02.165.308,D051445,103
A02.165.308.410,D007403,104
A02.165.308.500,D008592,105
A02.165.308.800,D051478,106
A02.165.407,D051457,107
A02.165.407.150,D002358,108
A02.165.407.500,D007817,109
A02.165.407.500.083,D001193,110
A02.165.407.500.211,D003413,111
A02.165.407.500.411,D004825,112
A02.165.407.500.870,D013957,113
A02.165.407.550,D055171,114
A02.340,D005205,115
A02.340.424,D005206,116
A02.513,D008022,117
A02.513.170,D001956,118
A02.513.514,D008023,119
A02.513.514.100,D016118,120
A02.513.514.162,D017885,121
A02.513.514.162.500,D017844,122
A02.513.514.162.600,D017888,123
A02.513.514.287,D017843,124
A02.513.514.350,D017846,125
A02.513.514.475,D017847,126
A02.513.514.600,D016119,127
A02.513.803,D012404,128
A02.633,D009132,129
A02.633.567,D018482,130
A02.633.567.050,D000009,131
A02.633.567.050.750,D017773,132
A02.633.567.050.800,D017568,133
A02.633.567.400,D005152,134
A02.633.567.500,D007821,135
A02.633.567.600,D008410,136
A02.633.567.600.500,D008406,137
A02.633.567.600.700,D011626,138
A02.633.567.600.850,D013703,139
A02.633.567.650,D009334,140
A02.633.567.700,D009801,141
A02.633.567.750,D010156,142
A02.633.567.775,D010369,143
A02.633.567.800,D010609,144
A02.633.567.800.360,D049631,145
A02.633.567.800.680,D055158,146
A02.633.567.825,D016658,147
A02.633.567.850,D052097,148
A02.633.567.900,D012132,149
A02.633.567.900.300,D003964,150
A02.633.567.900.500,D007366,151
A02.633.567.912,D017006,152
A02.633.567.950,D013198,153
A02.633.567.975,D013719,154
A02.633.570,D009130,155
A02.633.570.210,D049630,156
A02.633.570.491,D009131,157
A02.633.570.491.800,D017540,158
A02.633.570.500,D009215,159
A02.633.580,D009206,160
A02.633.580.680,D010210,161
A02.835,D012863,162
A02.835.232,D001842,163
A02.835.232.043,D050281,164
A02.835.232.043.300,D005529,165
A02.835.232.043.300.492,D008682,166
A02.835.232.043.300.710,D013639,167
A02.835.232.043.300.710.300,D002111,168
A02.835.232.043.300.710.780,D013628,169
A02.835.232.043.300.800,D050277,170
A02.835.232.043.650,D007867,171
A02.835.232.043.650.247,D005269,172
A02.835.232.043.650.247.343,D005270,173
A02.835.232.043.650.247.510,D005272,174
A02.835.232.043.650.321,D005360,175
A02.835.232.043.650.624,D010329,176
A02.835.232.043.650.883,D013977,177
A02.835.232.043.825,D010384,178
A02.835.232.043.825.108,D000077,179
A02.835.232.043.825.434,D007085,180
A02.835.232.043.825.548,D007512,181
A02.835.232.043.825.781,D011630,182
A02.835.232.087,D001133,183
A02.835.232.087.090,D050280,184
A02.835.232.087.090.400,D006811,185
A02.835.232.087.090.700,D011884,186
A02.835.232.087.090.850,D014457,187
A02.835.232.087.090.850.600,D056740,188
A02.835.232.087.227,D002968,189
A02.835.232.087.319,D050276,190
A02.835.232.087.319.150,D002348,191
A02.835.232.087.319.150.150,D051224,192
A02.835.232.087.319.150.400,D051225,193
A02.835.232.087.319.150.500,D012667,194
A02.835.232.087.319.150.600,D051220,195
A02.835.232.087.319.150.750,D021361,196
A02.835.232.087.319.150.800,D051222,197
A02.835.232.087.319.150.805,D051223,198
A02.835.232.087.319.150.831,D051221,199
A02.835.232.087.319.350,D050278,200
A02.835.232.087.319.550,D050279,201
A02.835.232.087.783,D012540,202
A02.835.232.087.783.261,D000174,203
A02.835.232.169,D018483,204
A02.835.232.251,D004838,205
A02.835.232.251.352,D006132,206
A02.835.232.409,D006928,207
A02.835.232.730,D012716,208
A02.835.232.781,D012886,209
A02.835.232.781.175,D055762,210
A02.835.232.781.200,D003393,211
A02.835.232.781.292,D005004,212
A02.835.232.781.324,D005147,213
A02.835.232.781.324.502,D007568,214
A02.835.232.781.324.502.125,D000539,215
A02.835.232.781.324.502.125.800,D020390,216
A02.835.232.781.324.502.320,D003724,217
A02.835.232.781.324.502.632,D008334,218
A02.835.232.781.324.502.632.130,D002680,219
A02.835.232.781.324.502.632.600,D008335,220
A02.835.232.781.324.502.645,D008437,221
A02.835.232.781.324.502.660,D021362,222
A02.835.232.781.324.665,D009295,223
A02.835.232.781.324.690,D009915,224
A02.835.232.781.324.948,D014420,225
A02.835.232.781.324.971,D055172,226
A02.835.232.781.324.995,D015050,227
A02.835.232.781.375,D005624,228
A02.835.232.781.572,D009777,229
A02.835.232.781.572.434,D005539,230
A02.835.232.781.651,D010294,231
A02.835.232.781.670,D056739,232
A02.835.232.781.750,D019291,233
A02.835.232.781.750.150,D035262,234
A02.835.232.781.750.165,D035301,235
A02.835.232.781.750.400,D003388,236
A02.835.232.781.802,D013100,237
A02.835.232.781.802.662,D012658,238
